I have some books.	わたしはいくつかの本を持っています。
I have some balls.	わたしはいくつかのボールを持っています。
I have some bags.	わたしはいくつかのカバンを持っています。
I do not have any books.	わたしは本を1つも持っていません。
I do not have any balls.	わたしはボールを1つも持っていません。
I don't have any bags.	わたしはカバンを1つも持っていません。
I don't have any pens.	わたしはペンを1つも持っていません。
I have two babies.	わたしには2人の赤ちゃんがいます。
I have three classes.	わたしは3つのクラスを持っています。
I have four boxes.	わたしは4冊の本を持っています。
I do not have leaves.	わたしは葉っぱをもっていません。
I do not have knives.	わたしはナイフを持っていません。
I don't have wives.	わたしには妻がいません。
I don't have any glasses.	わたしは一つもメガネを持っていません。
I have many apples.	わたしはたくさんのりんごを持っています。
I have many cups.	わたしはたくさんのカップを持っています。
I have many desks.	わたしはたくさんの机を持っています。
I have many dishes.	わたしはたくさんのお皿を持っています。
He likes winter.	彼は冬が好きです。
She likes summer.	彼女は夏が好きです。
My mother likes spring.	私の母は春が好きです。
My parents like autumn.	私の両親たちは秋が好きです。
He does not like winter.	彼は冬が好きではありません。
She does not like summer.	彼女は夏が好きではありません。
My mother does not like spring.	私の母は春が好きではありません。
My parents do not like autumn.	私の両親たちは秋が好きではありません。
He lives in Tokyo.	彼は東京に住んでいます。
She lives in Hokkaido.	彼女は北海道に住んでいます。
My father lives in Miyagi.	私の父は宮城に住んでいます。
He does not live in Tokyo.	彼は東京に住んでいません。
She does not live in Hokkaido.	彼女は北海道に住んでいません。
My father does not live in Miyagi.	私の父は宮城に住んでいません。
He studies math after school.	彼は放課後に算数を勉強します。
She studies science after school.	彼女は放課後に理科を勉強します。
He and she study math after school.	彼と彼女は放課後に算数を勉強します。
He does not study math after school.	彼は放課後に算数を勉強しません。
She does not study science after school.	彼女は放課後に理科を勉強しません。
He does not study math after school.	彼と彼女は放課後に算数を勉強しません。
My brother has a green car.	私の兄は緑の車を持っています。
My sister has a red car.	私の姉は赤い車を持っています。
Ms. Kate has a blue car.	ケイトさんは青い車を持っています。
My brother does not have a green car.	私の兄は緑の車を持っていません。
My sister does not have a red car.	私の姉は赤い車を持っていません。
Ms. Kate does not have a blue car.	ケイトさんは青い車を持っていません。
He teaches Japanese.	彼は日本語を教えます。
She teaches Chinese.	彼女は中国語を教えます。
Ms. Nancy teaches English.	ナンシーさんは英語を教えます。
He does not teach Japanese.	彼は日本語を教えません。
She does not teach Chinese.	彼女は中国語を教えません。
Ms. Nancy does not teach English.	ナンシーさんは英語を教えません。
He washes the dishes.	彼はお皿を洗います。
She washes the dishes.	彼女はお皿を洗います。
Mr. John washes the dishes.	ジョンさんはお皿を洗います。
Does he wash the dishes?	彼はお皿を洗いますか？
Does she wash the dishes?	彼女はお皿を洗いますか？
Does Mr. John wash the dishes?	ジョンさんはお皿を洗いますか？
He watches YouTube every morning.	彼は毎朝YouTubeを見ます。
She watches YouTube every night.	彼女は毎夜YouTubeを見ます。
He and she watch YouTube every day.	彼と彼女は毎日YouTubeを見ます。
Does he watches YouTube every morning?	彼は毎朝YouTubeを見ますか？
Does she watches YouTube every night?	彼女は毎夜YouTubeを見ますか？
Do he and she watch YouTube every day?	彼と彼女は毎日YouTubeを見ますか？
He speaks English.	彼は英語を話します。
She speaks Chinese.	彼女は中国語を話します。
My dog speaks Japanese.	私の犬は日本語を話します。
Does he speak English? Yes, he does.	彼は英語を話しますか？ はい、話します。
Does she speak Chinese? No, she doesn't.	彼女は中国語を話しますか？ いいえ、話しません。
Does my dog speak Japanese? Yes, it does.	私の犬は日本語を話しますか？ はい、話します。
Bob plays soccer.	ボブはサッカーをします。
Mika plays basketball.	ミカはバスケットボールをします。
Bob and Mika play tennis.	ボブとミカはテニスをします。
Does Bob play soccer? Yes, he does.	ボブはサッカーをしますか？ はい、します。
Does Mika play basketball? No, he does not.	ミカはバスケットボールをしますか？ いいえ、しません。
Do Bob and Mika play tennis? Yes, they do.	ボブとミカはテニスをしますか？ はい、します。
He goes shopping.	彼は買い物に行きます。
She goes shopping.	彼女は買い物に行きます。
Tom and Mike go shopping.	トムとマイクは買い物に行きます。
Does he go shopping? Yes, he does.	彼は買い物に行きますか？ いいえ、行きません。
Does she go shopping? No, she does not.	彼女は買い物に行きますか？ はい、行きます。
Do Tom and Mike go shopping? Yes, he does.	トムとマイクは買い物に行きますか？ いいえ、行きません。
This is my mother's bag.	これは私の母のカバンです。
This is her bag.	これは彼女のカバンです。
That is my brother's pen.	これは私の兄のペンです。
That is his pen.	これは彼のペンです。
These are Jane's books.	これらはジェーンの本です。
These are her books.	これらは彼女の本です。
We play tennis with Ken and Mike.	わたしたちはケンとマイクと一緒にテニスをしました。
We play tennis with them.	わたしたちは彼らと一緒にテニスをしました。
Tom and Bob is kind. I like them.	トムとボブは優しい。わたしは彼らが好きです。
Do you use that ball?  No, I don't use it.	あなたはあのボールを使いますか？ いいえ、わたしはそれを使いません。
These are my pencils. I use them every day.	これらはわたしの鉛筆です。 わたしは毎日それらを使います。
I always play soccer.  I like it.	わたしはいつもサッカーをしています。わたしはそれが好きです。
He is Ken. I often help him.	彼はケンです。わたしはよく彼を助けます。
Do you like him? Yes, I like him very much.	あなたは彼が好きですか？ はい、わたしは彼をとても好きです。
That's Mika. Do you know her?	あれはミカです。あなたは彼女を知っていますか？
They play soccer with me.	彼らはわたしといっしょにサッカーをよくします。
They don't swim with you.	彼らはあなたといっしょに泳ぎません。
I cook cookies and give them for you.	わたしはクッキーを作って、あなたにあげます。
